Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",,Failure,4 June 2010,
2,CCAFS,Dragon,0,LEO,NASA,Success,,Failure,8 December 2010,
3,CCAFS,Dragon,525 kg,LEO,NASA,Success,,"No attempt
",22 May 2012,
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",,No attempt,8 October 2012,
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",,"No attempt
",1 March 2013,
6,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,,Uncontrolled,29 September 2013,
7,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,,No attempt,3 December 2013,
8,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,,No attempt,6 January 2014,
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",,Controlled,18 April 2014,
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,,Controlled,14 July 2014,
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,,No attempt,5 August 2014,
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,,"No attempt
",7 September 2014,
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,,Uncontrolled,21 September 2014,
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,,Failure ,10 January 2015,
15,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",,Controlled,11 February 2015,
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",,No attempt,2 March 2015,
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",,Failure,14 April 2015,
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",,No attempt,27 April 2015,
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,,Precluded,28 June 2015,
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",,Success,22 December 2015,
21,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",,Failure,17 January 2016,
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",,Failure,4 March 2016,
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,,Success,8 April 2016,
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",,Success,6 May 2016,
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",,Success,27 May 2016,
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",,Failure,15 June 2016,
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",,Success,18 July 2016,
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",,Success,14 August 2016,
29,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",,Success,14 January 2017,
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",,Success,19 February 2017,
31,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",,No attempt,16 March 2017,
32,KSC,SES-10,"5,300 kg",GTO,SES,Success,,Success,30 March 2017,
33,KSC,NROL-76,C,LEO,NRO,"Success
",,Success,1 May 2017,
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",,No attempt,15 May 2017,
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",,Success,3 June 2017,
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",,Success,23 June 2017,
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",,Success,25 June 2017,
38,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",,No attempt,5 July 2017,
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",,Success,14 August 2017,
40,VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",,Success,24 August 2017,
41,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",,Success,7 September 2017,
42,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",,Success,9 October 2017,
43,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",,Success,11 October 2017,
44,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",,Success,30 October 2017,
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",,Success,15 December 2017,
46,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,Controlled,23 December 2017,
47,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,,Success,8 January 2018,
48,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,,Controlled,31 January 2018,
49,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,,No attempt,22 February 2018,
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,,No attempt,6 March 2018,
51,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,No attempt,30 March 2018,
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,,No attempt,2 April 2018,
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,,Success,18 April 2018,
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,,Success,11 May 2018,
55,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,,No attempt,22 May 2018,
56,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,,No attempt,4 June 2018,
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,,No attempt,29 June 2018,
58,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,,Success,22 July 2018,
59,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,Success,25 July 2018,
60,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,,Success,7 August 2018,
61,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,,Success,10 September 2018,
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,,Success,8 October 2018,
63,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,,Success,15 November 2018,
64,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,,Success,3 December 2018,
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",,Failure,5 December 2018,
66,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,,No attempt,23 December 2018,
67,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",,Success,11 January 2019,
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",,Success,22 February 2019,
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",,Success,2 March 2019,
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",,Success,4 May 2019,
71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",,Success,24 May 2019,
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",,Success,12 June 2019,
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",,Success,25 July 2019,
74,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",,No attempt,6 August 2019,
75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,11 November 2019,
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",,Success,5 December 2019,
77,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",,Success,17 December 2019,
78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,7 January 2020,
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",,"No attempt
",19 January 2020,
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,29 January 2020,
81,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Failure,17 February 2020,
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",,Success,7 March 2020,
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Failure,18 March 2020,
84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,22 April 2020,
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",,Success,30 May 2020,
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,4 June 2020,
87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",,Success,13 June 2020,
88,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",,Success,30 June 2020,
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",,Success,20 July 2020,
90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",,Success,7 August 2020,
91,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",,Success,18 August 2020,
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",,Success,30 August 2020,
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,3 September 2020,
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,6 October 2020,
95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 October 2020,
96,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,24 October 2020,
97,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",,Success,5 November 2020,
98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",,Success,16 November 2020,
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",,Success,21 November 2020,
100,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,25 November 2020,
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",,Success,6 December 2020,
102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",,Success,13 December 2020,
103,KSC,NROL-108,C,LEO,NRO,"Success
",,Success,19 December 2020,
104,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",,Success,8 January 2021,
105,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,20 January 2021,
106,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",,Failure,24 January 2021,
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,,Failure,4 June 2010,
2,CCAFS,Dragon,0,LEO,NASA,Success,,"No attempt
",8 December 2010,
3,CCAFS,Dragon,525 kg,LEO,NASA,"Success
",,No attempt,22 May 2012,
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",,"No attempt
",8 October 2012,
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,MDA,Success,,Uncontrolled,1 March 2013,
6,VAFB,CASSIOPE,500 kg,Polar orbit,SES,Success,,No attempt,29 September 2013,
7,CCAFS,SES-8,"3,170 kg",GTO,Thaicom,Success,,No attempt,3 December 2013,
8,CCAFS,Thaicom 6,"3,325 kg",GTO,NASA,"Success
",,Controlled,6 January 2014,
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,Orbcomm,Success,,Controlled,18 April 2014,
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,Success,,No attempt,14 July 2014,
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,,"No attempt
",5 August 2014,
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA,Success,,Uncontrolled,7 September 2014,
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,,Failure ,21 September 2014,
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,USAF,"Success
",,Controlled,10 January 2015,
15,Cape Canaveral,DSCOVR,570 kg,HEO,ABS,"Success
",,No attempt,11 February 2015,
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,"Success
",,Failure,2 March 2015,
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,"Success
",,No attempt,14 April 2015,
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,Failure,,Precluded,27 April 2015,
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,Orbcomm,"Success
",,Success,28 June 2015,
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,"Success
",,Failure,22 December 2015,
21,VAFB,Jason-3,553 kg,LEO,SES,"Success
",,Failure,17 January 2016,
22,Cape Canaveral,SES-9,"5,271 kg",GTO,NASA,Success,,Success,4 March 2016,
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,SKY Perfect JSAT Group,"Success
",,Success,8 April 2016,
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Thaicom,"Success
",,Success,6 May 2016,
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,ABS,"Success
",,Failure,27 May 2016,
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,NASA,"Success
",,Success,15 June 2016,
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,SKY Perfect JSAT Group,"Success
",,Success,18 July 2016,
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Iridium Communications,"Success
",,Success,14 August 2016,
29,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",,Success,14 January 2017,
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,EchoStar,"Success
",,No attempt,19 February 2017,
31,KSC,EchoStar 23,"5,600 kg",GTO,SES,Success,,Success,16 March 2017,
32,KSC,SES-10,"5,300 kg",GTO,NRO,"Success
",,Success,30 March 2017,
33,KSC,NROL-76,C,LEO,Inmarsat,"Success
",,No attempt,1 May 2017,
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,NASA,"Success
",,Success,15 May 2017,
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,Bulsatcom,"Success
",,Success,3 June 2017,
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,"Success
",,Success,23 June 2017,
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Intelsat,"Success
",,No attempt,25 June 2017,
38,KSC,Intelsat 35e,"6,761 kg",GTO,NASA,"Success
",,Success,5 July 2017,
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,NSPO,"Success
",,Success,14 August 2017,
40,VAFB,Formosat-5,475 kg,SSO,USAF,"Success
",,Success,24 August 2017,
41,KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,"Success
",,Success,7 September 2017,
42,VAFB,Iridium NEXT,"9,600 kg",Polar,SES S.A.,"Success
",,Success,9 October 2017,
43,KSC,SES-11,"5,200 kg",GTO,KT Corporation,"Success
",,Success,11 October 2017,
44,KSC,Koreasat 5A,"3,500 kg",GTO,NASA,"Success
",,Success,30 October 2017,
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,Success,,Controlled,15 December 2017,
46,VAFB,Iridium NEXT,"9,600 kg",Polar,Northrop Grumman,Success,,Success,23 December 2017,
47,CCAFS,Zuma,C,LEO,SES,Success,,Controlled,8 January 2018,
48,CCAFS,GovSat-1,"4,230 kg",GTO,Hisdesat,Success,,No attempt,31 January 2018,
49,VAFB,Paz,"2,150 kg",SSO,Hispasat,Success,,No attempt,22 February 2018,
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,Success,,No attempt,6 March 2018,
51,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,,No attempt,30 March 2018,
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,,Success,2 April 2018,
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Thales-Alenia,Success,,Success,18 April 2018,
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Iridium Communications,Success,,No attempt,11 May 2018,
55,VAFB,Iridium NEXT,"6,460 kg",Polar,SES,Success,,No attempt,22 May 2018,
56,CCAFS,SES-12,"5,384 kg",GTO,NASA,Success,,No attempt,4 June 2018,
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Telesat,Success,,Success,29 June 2018,
58,CCAFS,Telstar 19V,"7,075 kg",GTO,Iridium Communications,Success,,Success,22 July 2018,
59,VAFB,Iridium NEXT,"9,600 kg",Polar,Telkom Indonesia,Success,,Success,25 July 2018,
60,CCAFS,Merah Putih,"5,800 kg",GTO,Telesat,Success,,Success,7 August 2018,
61,CCAFS,Telstar 18V,"7,060 kg",GTO,CONAE,Success,,Success,10 September 2018,
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,Es'hailSat,Success,,Success,8 October 2018,
63,KSC,Es'hail 2,"5,300 kg",GTO,Spaceflight Industries,Success,,Success,15 November 2018,
64,VAFB,SSO-A,"~4,000 kg",SSO,NASA,"Success
",,Failure,3 December 2018,
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,USAF,Success,,No attempt,5 December 2018,
66,CCAFS,GPS III,"4,400 kg",MEO,Iridium Communications,"Success
",,Success,23 December 2018,
67,VAFB,Iridium NEXT,"9,600 kg",Polar,PSN,"Success
",,Success,11 January 2019,
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",,Success,22 February 2019,
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",,Success,2 March 2019,
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",,Success,4 May 2019,
71,CCAFS,Starlink,"13,620 kg",LEO,Canadian Space Agency,"Success
",,Success,24 May 2019,
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",,Success,12 June 2019,
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Spacecom,"Success
",,No attempt,25 July 2019,
74,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",,Success,6 August 2019,
75,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,11 November 2019,
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,Sky Perfect JSAT,"Success
",,Success,5 December 2019,
77,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",,Success,17 December 2019,
78,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,"No attempt
",7 January 2020,
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",,Success,19 January 2020,
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Failure,29 January 2020,
81,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,17 February 2020,
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",,Failure,7 March 2020,
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 March 2020,
84,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,22 April 2020,
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",,Success,30 May 2020,
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,4 June 2020,
87,CCAFS,Starlink,"15,410 kg",LEO,U.S. Space Force,"Success
",,Success,13 June 2020,
88,CCAFS,GPS III,"4,311 kg",MEO,Republic of Korea Army,"Success
",,Success,30 June 2020,
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",,Success,20 July 2020,
90,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",,Success,7 August 2020,
91,CCAFS,Starlink,"~15,440 kg",LEO,CONAE,"Success
",,Success,18 August 2020,
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",,Success,30 August 2020,
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,3 September 2020,
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,6 October 2020,
95,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 October 2020,
96,CCAFS,Starlink,"15,600 kg",LEO,USSF,"Success
",,Success,24 October 2020,
97,CCAFS,GPS III,"4,311 kg",MEO,NASA,"Success
",,Success,5 November 2020,
98,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",,Success,16 November 2020,
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,SpaceX,"Success
",,Success,21 November 2020,
100,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",,Success,25 November 2020,
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,Sirius XM,"Success
",,Success,6 December 2020,
102,CCSFS,SXM-7,"7,000 kg",GTO,NRO,"Success
",,Success,13 December 2020,
103,KSC,NROL-108,C,LEO,Türksat,"Success
",,Success,19 December 2020,
104,CCSFS,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",,Success,8 January 2021,
105,KSC,Starlink,"15,600 kg",LEO,,,,,20 January 2021,
106,CCSFS,Transporter-1,"~5,000 kg",SSO,,,,,24 January 2021,
